Premise	Hypothesis	Label
well i watch um i like news programs like you mentioned and sometimes i will watch um like the cable news network evening news program	I sometimes like to watch the evening news.	entailment
Visitors can wander the hillside and wade waist-deep in waters of the Gihon Spring that still flow through the tunnel.	The visitors can go around the hillside.	entailment
Yet he had a certain charm of manner, and I fancied that, if one really knew him well, one could have a deep affection for him. 	He had an attractive manner	entailment
and they never told us why these two people had such a vendetta against each other and the crime was uh uh attempt to commit murder you know and	There wasn't much detail on why the pair hated each other so much.	entailment
There's a flower?	There is no flower.	contradictory
She sure was the pluckiest little girl  " But suddenly something seemed to crack in Tommy's brain.	Tommy's brain was not normal.	entailment
Nearby on the banks of the river is the Nile Hilton Hotel a landmark for Cairenes (as the people of the city are known) as well as tourists.	The Nile Hilton Hotel is located close to the banks of the river. 	entailment
Board members have differing views on whether social insurance programs result in exchange or nonexchange transactions.	Board members have different views on if social insurance programs should result in exchange or nonexchange transactions 	entailment
They sure is a grand sight: band o' roans, then one o' duns, an' some blacks.	All the horses were dappled black and white.	contradictory
Only three hours today,' father said matter-of-factly.	Father said, 'Only three hours today.'	entailment
Only children who suffer the most severe deprivation are permanently damaged.	Children who are extremely deprived get the most damaged	entailment
Agencies collocated team members when the employees had been working in the same building or facility.	Agencies collected team members when employees were working in the same building 	entailment
As Jared Hohlt  in Slate , the comedian got sick at the point where he needed to reinvent himself to keep from sinking into obscurity.	The comedian was able to pull himself into a healthy state when he needed to.	contradictory
He was young and handsome, if you discounted a darkening bruise already puffing under one eye, a lip cut and swelling, a scowl twisting rather heavy brows and making an ugly square of his mistreated mouth.	He was ugly.	contradictory
But a campaign lawyer I spoke to for this story said he couldn't see what would prevent it on the Internet, so long as Yahoo charged at least the going rate for the ads.	The campaign lawyer said to me that he could see what would prevent it from the Internet.	contradictory
-12 Clearly it would have been contrary to the overall thrust of the Act for Congress to exclude from GAOas purview agency processes and activities that are routinely the subject of congressional oversight.	Agency processes and activities are routinely within congressional oversight.	entailment
The centerpiece this year was President Clinton's monologue, which featured the following joke he said had been approved by his  Knock-knock Don't answer that.	Clinton's monologue was funny.	entailment
Sir James and his young friends had been paying a call upon her, when she was suddenly stricken down and they had spent the night in the flat, not liking to leave her alone.	Sir James has never been to her flat.	contradictory
Contact the Cumbria Tourist Board or local tourist information centers for full details .	Talk to the Cumbria Tourist Board or other tourist info centers for complete details.	entailment
To visit this establishment, which resembles a private residence.	To visit this establishment that looks like a private residence. 	entailment
Before Caterpillar starts making parts, it estimates the product's reliability in its current stage of development based on knowledge captured from failure modes and effects analysis,6 component prototype testing, and past product experience.	Caterpillar only estimates part reliability after production is finished.	contradictory
Management's Role	The role of employees	contradictory
yeah no i mean they were saying that of us that we're the North Americans and they're Americans they they we always say we're Americans and they they want us to say we're the North Americans we're not Americans we're North Americans and they're South Americans yeah	They distinguish a difference between North and South Americans.	entailment
and even then you know we're really running out of space so i think that that became that all of a sudden really hit home that there's no longer landfill space in some of the more crowded states	There's plenty of space for landfills even in the most populated areas.	contradictory
Then, with an abrupt change of manner: "Hands up or I shoot!" For a moment Kramenin stared blindly into the big automatic, then, with almost comical haste, he flung up his hands above his head.	Keep your hands down and I won't shoot you.	contradictory
Herbs are collected and dried for you to take home and use in your cooking.	You may take dried herbs home.	entailment
The Gospel of Luke reports that Jesus stopped along the way to Golgotha and told the women who were following him that they should weep for themselves and their children rather than for him (Luke 23:28).	According to Luke, Jesus told the women not to cry for him, but for themselves.	entailment
This would seem to violate all the aforementioned principles.	This abides all the aforementioned principles.	contradictory
For the moment, he sought refuge in retreat, and left the room precipitately. 	He stayed put and sat on the floor.	contradictory
The cost was horrible but it was that or the horse would be stolen.	The cost was bad. 	entailment
Every third person I past seemed to be shivering a little; suits clung to their portfolios, while scientists hugged clipboards.	Everyone I passed seemed to be cold.	entailment
It was in my mind when I asked Mr. Wells that first question about the will. 	I did not think about Mr. Wells.	contradictory
strange in other ways	Weird in different ways.	entailment
Farther on, take the road to Jalon, where in late summer farmers sell muscat grapes to passers-by, and you can buy some of the strong local wine.	Summer farmers sell strawberries.	contradictory
These three central agencies, referred to collectively as the principals, established the Federal Accounting Standards Advisory Board (FASAB) in 1990.	These three principals central agencies, established the FASAB in 2010.	contradictory
um-hum well i i uh i like the print news much better than the television news because television news tends to sensationalize	I like the print news far better than news from the television.	entailment
In spite of the carte blanche assured to him, he had not yet acquired the habit of going about with any considerable sum of money on him.	He loved to carry large amounts of cash all the time.  	contradictory
The palace, much altered over the generations, was generally used as a residence only at times of dynastic importance or danger, when Holyrood, down in the lowland, was difficult to defend.	The palace was always the primary residence.	contradictory
While for the most part, agencies have provided GAO with requested information within agreed-upon time frames, the following sections describe the steps GAO is authorized to follow if it believes it is experiencing unreasonable delays in obtaining the requested access.	Agencies refused to give GAO the information they needed.	contradictory
What's a Postal Regulatory Commissioner to do?	What can be done by a Postal Regulatory commissioner?	entailment
Because this is one of the young of the species.	This is one of the younger ones.	entailment
First, they said that standardization is probably a good approach for resolving legal issues that each agency will have ultimately to face, such as the use of copyrighted material and censorship of comments received by the public that might be accessible to minors.	Censoring minors from comments received by the public is a dilemma we can never make fool-proof.	contradictory
that's right and then they uh poof it off you know just like Tarpley  but um	Then they make it disappear just like Tarpley.	entailment
uh i couldn't you you couldn't do it otherwise	You can't do anything	contradictory
i i the only reason i know a little bit about that is when i was in school still	I never learned about that	contradictory
you know that that they're not in the home by choice anymore	They're in the home by their own choice	contradictory
When there are multiple units retrofit at one site only, one mobilization is needed for all of the boilers, only one construction supervisor is required, and equipment is more efficiently used.	When there are units retrofit just in one place, they still need ten mobilizations.	contradictory
The Commission discusses these comments and any actions taken in reaction to them in the supplementary information provided when the Final Rules were published in the Federal Register on September 12, 1996 (61 Fed.	These comments were discussed by the Commission and published on September 12, 1996.	entailment
What is reputed to be Gen.	Gen's reputation is a mystery.	entailment
no usually in the summer time	Nope, it's more common in summer.	entailment
i it's this problem with being in school you know they just moved and they took their strawberries that they had out in their yard and put them all in containers and they're going to decide what they're going to do with them i think but they're going to let them bloom this year in the containers	They took the strawberries from the yard and put them in containers for now.	entailment
The Spanish Jesuit missionary visited Melaka several times from 1545 until his death in 1553 on Shangchuan Island off the coast of Canton.	The Spanish Jesuit missionary died in Malaka in 1553.	contradictory
Another million years or today.	Another century ago or yesterday. 	contradictory
You can view it from the building opposite before going behind the temple to see the sacred bull, stained deep vermilion by the libations of its worshippers.	The bull is a brilliant white color, and monks clean it every day.	contradictory
For the five centuries since then, the Buddha has been dispensing his benevolence to visitors in the open air.	The Buddha has been indoors for 500 years since then.	contradictory
In keeping with their role as advisors and facilitators, most of the security managers said that they relied significantly on auditors to test controls.	Recent budget cuts have necessitated the expansion of our security managers' roles to include testing functions.	contradictory
Many staff also have experience in other nonprofit organizations that work as partners with our grantees, such as bar associations, non-LSC funded legal services providers and social welfare advocacy groups.	Experience with other nonprofit organizations isn't unusual with staff.	entailment
songs that were popular back when i was paying attention and then i like some classical music and some of the	I refuse to listen to any genre of music that isn't country.	contradictory
Would we want to have, say, a carbon tax even if we weren't worried about global warming?	We should not consider a carbon tax to slow global warming.	contradictory
DIRECTED FLOWS OF RESOURCES -Expenses to nonfederal entities imposed by federal laws or regulations without providing federal financing.	Federal financing providing is imposed by the federal law.	entailment
but some of them are sold and i know you talking about mailing lists the i there is one particular group to which i belong and for some the reason they have three different names	I don't belong to any of those groups.	contradictory
'Uh, hi guys,' Daniel said meekly.	Daniel was boisterous.	contradictory
and then and then she that's right then she didn't want to do her obligation yeah	That's right, she didn't want to fulfill her obligation	entailment
Somewhere along the line, all of that changed.	Everything changed at some point.	entailment
but the Time folks understandably suspect ballot-stuffing.	The Time corporation hypothesize voter fraud. 	entailment
That is why I am sorry for Robert Reich.	I have no reason to be sorry. 	contradictory
Please tell  Do you see an end to human suffering?	Do you see an end to human suffering?	entailment
William Powell and Myrna Loy star, a reminder of the time when classy (if drunken) wit equalled box-office success.	The two stars were cheap and boring, that's why their movie flopped.  	contradictory
and they were all shooting state of the art Soviet weapons in eighty four i was down in Central America as an advisor to the Honduran army again we were running up against Cubans quite a bit plus Soviet advisors and the equipment we were capturing and taking from the Nicaraguans was brand new out of the crate Soviet made material do i consider them a threat absolutely they have a university in Moscow called the Patrice de Lamumba University about like A and M or UT where they're teachings subjects like that they're teaching terrorism some of the people we went up against in Lebanon were graduates from that place and let me tell you they are nothing nice to go up against	All of them were prime examples of Soviet weaponry.	entailment
This is the starting point for the walk along the Stations of the Crose which commemorate the route that Jesus took to his death.	The Stations of the Crose came to an end here, where Jesus died.	contradictory
That was a mistake that was not deliberate on the part of ABC but for which we accept responsibility and which requires correction.	ABC accepts responsibility for the mistake although it was not deliberate.	entailment
It soon became a place of contemplation, learning, and pilgrimage a role it still performs for thousands of believers to the present day.	The site no longer has any religious significance.	contradictory
 "I'll bet you without waitin' to see a hole card," Anse replied, "that if that coyote was ever ridin' on our side which I don't stretch ear to he cut loose them traces long ago.	Anse remained silent.	contradictory
The pessimistic view is that investors have been spoiled by the perfect conditions and will panic as soon as something goes wrong.	Investors might have been scared by how terrible the market has been.	contradictory
oh i think so too and i think the other thing is the news media media puts such a blitz on it that they've uh had it predetermined with a half of one percent voting you know	The media does it so fast that they predetermine the votes.	entailment
uh he was selling soda machines at the uh selling like Coca-Cola had given him	He was selling computers. 	contradictory
now how old are your girls	What are the ages of your girls?	entailment
These procedures have been shown to be well suited to the consideration of niche classification proposals.	The procedures help with classification.	entailment
and so i don't i don't know firsthand of these benefits	Yes I know all about those benefits.	contradictory
Given a broad interpretation, the conflict-of-interest provision would require dozens, if not hundreds, of independent counsels.	The conflict-of-interest provisions require no independent counsels.	contradictory
Some vomited as a cloud of white chemicals settled on fields around them.	Everybody was fine even after the white chemicals started to descend.	contradictory
Apparently, White really had given Greuze all the data he needed.	They were shocked to learn they never gave them the data.	contradictory
A small demonstration of personhood.	The demonstration was small.	entailment
The agency submitted the entire analysis to us for our review when it submitted its report on the rule.	The agency submitted the analysis at the same time as the rule report.	entailment
well you can believe that anyway right	It's possible to believe that.	entailment
He reached the town as the red sun stood high in the sky, baking the ground.	The only thing greeting him when he arrived to town was the black, night sky. 	contradictory
yeah yeah you know there's a thing i just i've been trying to learn as much as i can about it if if you pay i i know i get paid twice a month every two weeks instead of twice a month so i get twenty six paychecks which would come out to be in like thirteen months	I know that there are different payment options available.	entailment
The game is at least as popular in Japan as it is in the US.	The game doesn't have a following in Japan at all.	contradictory
Under these assumptions, the nation's electricity intensity is projected to decline at an annual rate of 2.5%,	Is it assumed that the nation's electricity intensity is projected to decline at 2.5% a year.	entailment
She noted that primary care studies and Ed Bernstein's ED project do give us experience with non-injured patients.	Primary care studies are not useful when it comes to non-injured patients.	contradictory
Something evidently of a non-committal nature. 	He was not committed to it.	entailment
well i graduated from college in nineteen seventy two	I did not go to college, and was a high school dropout.	contradictory
He's a tolerable vet, too.	He is a plumber.	contradictory
CFO Act GAO's mission again due auditing	The mission was not acted.	contradictory
While the analysis states that EPA is confident of the cost figures included in the analysis, an estimation of the benefits is more difficult because of EPA's inability to quantitatively evaluate all human and ecosystem benefits and to assign monetary values to These benefits for a comparison in a standard cost-benefit framework.	The EPA thinks the cost figures are right.	entailment
Direct modifications are actions that change the subsidy cost by altering the terms of existing contracts or by selling loan assets.	Direct modifications change the subsidy cost.	entailment
There is no development here for two main reasons.	For several reasons, plenty of things have been developed here over time.	contradictory
The Internet, barely in the government's hands in the first place, was hijacked by the students, who seemed to be more interested in playing Dungeons and Dragons than in using the network solely for research.	The internet was only used by students for research purposes.	contradictory
Severn paled and didn't speak for a moment.	Severn screamed the entire time.	contradictory
oh yeah you know you've got the same exact thing yeah	I don't think this is like what you have.	contradictory
Practiced by a few, perhaps more squeamish, members.	A few members practiced this, even though they may be more squeamish. 	entailment
Madrid is littered with small, affordable residencias (pensions), and this is one of the best bargains among them.	Madrid has a lot of cheap places to stay.	entailment
Many insured families have inadequate child benefits, excessive costs, or periods without coverage.	Families that are insured have low costs.	contradictory
The Prado is also well supplied with El Greco's passionately colored religious paintings, such as Adoration of the Shepherds.	Adoration of the Shepherds is by El Greco.	entailment
But he was not Jon.	But the man before you was not Jon.	entailment
Many of these goals have been met and others continue as work in progress.	The goals that haven't been met yet are still in progress.	entailment
and um it had been recommended by some friends of ours but uh it it's an older place and so i uh checked out all the new places that were near us and then i checked that place out and uh even though it was older it was it was real comfortable and i guess kind of homey	Our friends told us to stay away from that place.	contradictory
A letter to the NYT from a woman reader rejects the use of the term chairman by women as part of their job titles, advocating instead chairperson.	A female reader encouraged the term chairman for all genders. 	contradictory
He saw anger and bewilderment on every face, but his calm assurance had done its work no one doubted but that something lay behind his words.	His assurance cleared the anger and bewilderment in the group.	entailment
What was this battle doing to her?	She was unaware of the battle.	contradictory
(Bill Clinton received his undergraduate degree from Georgetown University, a Jesuit school.)	Georgetown University is a Jesuit school that offers undergraduate degrees.	entailment
Lincoln was losing a lot of people, but White was losing more.	White lost more people than Lincoln.	entailment
The web site will serve as a comprehensive portal for low-income Mainers seeking legal assistance information of any type, providing information from all of the state's legal services providers as well as state agencies and other sources of information and assistance.	The website helps wealthy people in Maine get legal help.	contradictory
right i used to be a coin dealer so i i i know i know those guys you know	I've never met those guys before.	contradictory
um actually have been to the movies um i think the last movie i saw was Misery	The last movie I saw was Shrek 2	contradictory
Having elicited from Dorcas how she had been awakened by the violent ringing of her mistress's bell, and had subsequently roused the household, he passed to the subject of the quarrel on the preceding afternoon. 	Dorcas recounted how she was suddenly awakened.	entailment
electronics industry	Fashion and design industry.	contradictory
Translational studies that develop methods of adapting already validated interventions into emergency department practice are needed.	Translational studies that develop methods of adapting already validated interventions into emergency department practice aren't needed.	contradictory
Judges certainly appreciate it.	Judges feel favorable toward it.	entailment
yeah because it's keeping him sane and plus it's keeping his marriage so and and plus he's getting on in his years now he's he's not that old but he's getting	It's not helping keep him same and it's hurting his marriage.	contradictory
This is a great discovery."	A discovery was made.	entailment
well i guess although i well that's a good point where you said that how does one define what invasion of privacy is because uh if that's the case of a tree falling in the forest and i'm not feeling invaded then maybe my privacy hasn't been because i have no sense of my privacy state having been invaded	I hate trees.	contradictory
The revolution of 1776, for instance, was fueled in part by the colonists' resentment of the overweening powers of royal judges.	The revolt in 1776 was partially fueled by colonial resentment toward royal judges.	entailment
(Conventional wisdom  Richard Nixon's funeral wouldn't have amounted to a polypresidential love-in had these tapes come out in early '94.)	Richard Nixon died and a funeral was held for him.	entailment
Even on your first visit there's no denying the feeling that something somewhere is about to happen.	There will never be anything happening when you visit.	contradictory
First, it loses sales of Windows 95.	It sold less than Windows 95.	entailment
The shops of the Israel Museum and the Tel Aviv Museum of Art are also good.	The shop at the Israel Museum is not very good. 	contradictory
Most impressive monument of the Imperial Forums, built as an adjunct to the Roman Forum in honor of Julius Caesar, Augustus, Trajan, Vespasian, and Domitian, is the 30-m- (100-ft-) high Trajan's Column (a.d.	Toppled in the 16th century, Trajan's column is now barely recognizable.	contradictory
'Because this is your responsibility.'	This responsibility belongs to you. 	entailment
What's more, they observe something called the minimal group effect.	The minimal group effect is also observed.	entailment
In the early tenth century Viking raiding parties from Scandinavia began skirmishing with the Celtic tribes along the coast.	During the ninth century was when there were many Viking raiding parties skirmishing with Celtic tribes along the coast.	contradictory
Well, then?	All right, so?	entailment
 "So we are all at fault," Sather Karf said finally.	"So we are all wrong," Sather Karf said finally.	entailment
Time also runs an essay by George Bush in which he claims that removing Saddam in 1991 would have upset the balance of power in the Middle East.	The Bush essay was not published by Time.	contradictory
But I suppose you hardly wish to go out to-day, as you only came yesterday."	You probably don't want to go out today.	entailment
9 billion if the value of scale is adjusted for Wachter's wage premium.	9 billion was adjusted for Wachter's wage premium.	entailment
 "Was he ridin', Sergeant?"Drew asked, hardly knowing why.	Drew asked the Sergeant if he was riding, not knowing why he asked it.	entailment
(2) The difference for a year or less between the elements (direct material, direct labor, factory overhead) of standard cost and actual cost.	There is no difference between standard cost and actual cost. 	contradictory
Havana's next-best cabaret show, smaller and less expensive, is Cabaret Parisien, at the Hotel Nacional (Calles 21 and O, Vedado; Tel. 30-3564), nightly at 10:30pm; admission is US$35.	Cabaret Parisien is a cabaret show.	entailment
The north wing was bombed in World War II, and the second floor was gutted by fire in 1968.	In World War II the north wing was bombed, and in 1968 the second floor was engulfed in flame.	entailment
Even readers who share Wilson's worldview will find much to provoke them.	The text contains views and thoughts that will provoke them.	entailment
hot air no hot i go hot air ballooning	I have never gone hot-air ballooning.	contradictory
yeah yeah it does how how long have you been in this house	How long have you been in the house?	entailment
you know i mean and and that seems really weird	You know, that seems really weird.	entailment
Kid seems to be settlin' down, ain't he?	He is really riled up!	contradictory
I think he wants me to be."	I think he wants to be me.	entailment
um especially not in the back window	Definitely not in the back window.	entailment
The parties Coward held here were legendary.	Coward held very famous parties.	entailment
Many of the clubs are in Taksim and on the European shore of the Bosphorus; one of the best-known is at the top of the Galata Tower.	One of the best-known clubs is at the top of the Galata Tower.	entailment
I FEEL he's here!" She looked appealingly at Sir James, who replied gravely: "With due deference to your feelings, Miss Tuppence (and mine as well for that matter), I do not see how it is humanly possible for anyone to be in the flat without our knowledge." The girl was a little comforted by his wards.	Sir James and miss tuppence are on a beach not indoors	contradictory
estimates that the impact of the Clean Air Act maximum achievable control technology portion of the rule in combination with the Clean Water Act portion is that one facility owned by one of the four small entities may close as a result of the combined impact.	The impact of both acts working together can end up closing industries. 	entailment
Pilgrims visiting the temple reverently drape its branches with white and saffron-colored veils.	The branches are draped with with blue and green-colored veils.	contradictory
and the first couple weeks they did it nobody got their stuff out so they had not much participation and they were going to cancel it but then finally people started getting the message	They had a lot of people join right away.	contradictory
The site has grown beyond its original format and now includes job postings, legal information and book recommendations.	The site has stayed the same since its inception.	contradictory
Packages sent to the US or to Europe generally take six to eight weeks by surface mail, and one week by airmail.	Sending a packaged to the US or Europe is much faster when using airmail and surface mail.	entailment
They also arrange golf tournaments among their guests.	Guests can participate in golf tournaments.	entailment
It should also be considered that the value in this table assumes conservatively high proportion of boilermaker labor and that the boilermaker trade grows at its minimum target rate of 5.3 percent.	The table assumes that nobody is a boilermaker.	contradictory
Within-study variation refers to the precision with which a given study estimates the relationship between air quality changes and health effects.	Within-study variation is a measurement of time	contradictory
Since 1936, the American Association of University Professors has censured universities that do wrong to their faculties.	The American Association of University Professors observes how universities treat their faculty.	entailment
he gets right into it and uh	He delays it forever.	contradictory
he takes more risks	He takes risks.	entailment
There are only a couple of dozen such swords in the world.	Only 10 swords were known to be in the world. 	contradictory
Sir James handed her a pocket-knife, and she ripped away the brown paper from the back… .	Sir James kept the pocket knife for himself	contradictory
Under GAGAS, auditors have the same responsibilities for detecting material misstatements arising from other types of noncompliance as they do for detecting those arising from fraud and illegal acts.	Auditors do not have any responsibilities. 	contradictory
The citadel now holds an only moderately interesting military museum.	The citadel holds the most comprehensive and fascinating military museum in the world.	contradictory
The converse, however, is not  A big thing made tiny is not comic; it's cute, a dollhouse, a teddy bear, a bonny wee Boris Yeltsin no bigger than your thumb--he can ride to the Duma on the back of a mouse, if he's not too drunk.	Small things are cute but not always funny.	entailment
Greuze put his arm around me, pulling me out of my seat.	Greuze pulled me out of my seat.	entailment
It has 35 yes/no questions.	There are only essay question here.	contradictory
It can also be several degrees warmer, which accounts for the thermal breezes and mellow summer temperatures.	It is usually severely colder, especially in the summer. 	contradictory
In the federal arena, including federal programs managed by state organizations, computer-assisted activities must be implemented consistent with all protections of the Privacy Act of 1974, as amended by the Computer Matching and Privacy Protection Act of 1988, and other privacy statutes.	The Privacy Act of 1974 was amended by the Computer Matching and Privacy Protection Act of 1988.	entailment
Likewise, many Nazi war criminals were punished, sometimes with death, by Polish courts of law.	Polish courts punished Nazi war criminals.	entailment
His company decided it made better financial sense to keep the CEO on board and pay off all the complainants.	The company decided to fire the CEO.	contradictory
yeah and you know what's bad i mean like i'm going into you know an education related field and i just you know it just you know it really kills me you know i mean it's it it really is a shame that you know you know United States somehow we spend more money on each student and the teachers are paid so little i mean i mean how do how do they figure that out	I'm going into computer programming.	contradictory
and the other thing was we need to really really to tighten up our discipline in schools because they run here in New England i'm not sure about the rest of the country but i know the schools are almost running rampant up here	Nothing needs to change in the New England schools.	contradictory
The terms financial statements and consolidated financial statements are used throughout this document to refer to the basic financial statements of a reporting entity; the basic financial statements normally  the balance sheet, the statements of net cost, changes in financial position, financing, budgetary resources, and custodial activities and the notes to the financial statements.	Financial statements are not referenced in the document.	contradictory
Of Hong Kong's population, 98 percent are Chinese.	98% of Hong Kong's population is Japanese.	contradictory
How anyone could work up an angry, sweat-laden combat attack over Stein's reverie, which I think is quite lovely, is beyond me.	I think that Stein's reverie is a load of absolute garbage.	contradictory
In addition to the effects on household saving choices, individual accounts may also affect the relationship and interactions between Social Security and private pensions.	Social Security and private pensions would also be affected by individual accounts.	entailment
He was white as chalk, the candle he held in his shaking hand was sputtering onto the carpet, and his eyes, petrified with terror, or some such kindred emotion, stared fixedly over my head at a point on the further wall. 	He stared over my head in a state of shock.	entailment
Though rationing had existed since the early 1960s, it was increased to cover many more basic items.	Since the 1960s the rationing station has been increased to cover more items.	entailment
oh that's right i think now that i recall reading about it in the paper	The paper did not mention it at all, so I don't know.	contradictory
all right so have we we've been doing the computer paper and then we've also been doing our aluminum cans	We have been doing everything else.	contradictory
contract method, the five phases generally occur in sequence with the A/E	The five phases typically occur in sequence with the A/E.	entailment
Carved from one black stone and set in a sunken tank of water, the 5-m (16-ft) image dates from the seventh century.	The image is sunken is a tank of water from the 15th century.	contradictory
Finally, visit the village of Olimbos on Karpathos, where the people, including children, wear elaborate and beautiful traditional costumes.	One can see elaborate and beautiful traditional costumes in Olimbos.	entailment
and it fails and you're dead	It keeps on working but you're dead.	contradictory
The next room won't do, interrupted Julius.	Julius said that the next room wasn't adequate.	entailment
Over the following week or so I tracked the 20 to 30 auctions for Unreal that were going on, and I eventually won a copy for $18.	I tracked the auctions for more than a week.	entailment
During the Empire Period, an ambitious Hittite king, Mutawallis, defeated the forces of the Egyptian pharaoh, Ramses II, at Kadesh (Syria) in 1285 b.c.	Mutawallis, during the Empire Period, defeated Ramses III in 1286 b.c.	contradictory
right the first appeal is automatic so that delays it for a few years just right off the bat	The first appeal isn't automatic, it requires special paperwork to be submitted before it can be granted.	contradictory
no no i agree i think i believe in test for cause if if somebody's performance and i guess that there's the other argument is that well do you wait until they screw up you know and someone gets hurt	I'm okay with someone being tested if they show sign and they are screwing up but I'm not sure if you do it without evidence.	entailment
Be a smart buyer.	You must buy smart.	entailment
and bowling you know and everybody was like it was like oh God do you guys really watch that no you know i was like a whole golf tournament it's like for example baseball i hate baseball i mean	All the people were surprised we watched that, and I very much dislike the sport of baseball.	entailment
Current U.S. accounting and reporting standards have become much too complex.	Today's U.S. accounting and reporting standards are not easy to understand.	entailment
